===============================================================================
Id,AAPL,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
69,AAPL,69,2014-04-10 23:59:59.999989,68.28,68.48,67.32,67.36,66519405.0,0.0,67.355766,SmaCross,69,735333.9999999999,Broker,69,9931.03,9998.390000000001,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,AAPL,70,2014-04-11 23:59:59.999989,66.78,67.27,66.54,66.86,75419744.0,0.0,66.857819,SmaCross,70,735334.9999999999,Broker,70,9931.03,9997.890000000001,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,AAPL,71,2014-04-14 23:59:59.999989,67.15,67.19,66.55,67.12,57088241.0,0.0,67.124161,SmaCross,71,735337.9999999999,Broker,71,9998.18,9998.18,BuySell,71,,68.19784999999999,Trades - Net Profit/Loss,71,,-2.519999999999996
72,AAPL,72,2014-04-15 23:59:59.999989,66.94,67.12,65.79,66.65,73968724.0,0.0,66.645523,SmaCross,72,735338.9999999999,Broker,72,9998.18,9998.18,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,AAPL,73,2014-04-16 23:59:59.999989,66.66,67.05,66.15,66.78,59611767.0,0.0,66.780617,SmaCross,73,735339.9999999999,Broker,73,9998.18,9998.18,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,AAPL,74,2014-04-17 23:59:59.999989,66.91,67.91,66.81,67.54,78921739.0,0.0,67.543633,SmaCross,74,735340.9999999999,Broker,74,9998.18,9998.18,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,AAPL,75,2014-04-21 23:59:59.999989,67.6,68.47,67.42,68.35,50669463.0,0.0,68.34523,SmaCross,75,735344.9999999999,Broker,75,9998.18,9998.18,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,AAPL,76,2014-04-22 23:59:59.999989,67.98,68.43,67.74,68.41,56224789.0,0.0,68.413429,SmaCross,76,735345.9999999999,Broker,76,9998.18,9998.18,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,AAPL,77,2014-04-23 23:59:59.999989,68.07,68.34,67.48,67.52,109622179.0,0.0,67.519173,SmaCross,77,735346.9999999999,Broker,77,9998.18,9998.18,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,AAPL,78,2014-04-24 23:59:59.999989,73.11,73.34,72.15,73.05,210926137.0,0.0,73.05452,SmaCross,78,735347.9999999999,Broker,78,9998.18,9998.18,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,AAPL,79,2014-04-25 23:59:59.999989,72.64,73.6,72.56,73.59,108327382.0,0.0,73.591072,SmaCross,79,735348.9999999999,Broker,79,9998.18,9998.18,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,AAPL,80,2014-04-28 23:59:59.999989,73.7,76.65,73.67,76.44,185826859.0,0.0,76.441109,SmaCross,80,735351.9999999999,Broker,80,9998.18,9998.18,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,AAPL,81,2014-04-29 23:59:59.999989,76.4,76.68,75.85,76.21,93644771.0,0.0,76.214638,SmaCross,81,735352.9999999999,Broker,81,9921.78,9997.99,BuySell,81,74.71225,,Trades - Net Profit/Loss,81,,
82,AAPL,82,2014-04-30 23:59:59.999989,76.25,77.13,75.89,75.93,126748242.0,0.0,75.92643,SmaCross,82,735353.9999999999,Broker,82,9921.78,9997.710000000001,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,AAPL,83,2014-05-01 23:59:59.999989,76.17,76.53,75.45,76.11,67739557.0,0.0,76.105309,SmaCross,83,735354.9999999999,Broker,83,9921.78,9997.890000000001,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,AAPL,84,2014-05-02 23:59:59.999989,76.22,76.46,75.88,76.25,53158011.0,0.0,76.246811,SmaCross,84,735355.9999999999,Broker,84,9921.78,9998.03,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,AAPL,85,2014-05-05 23:59:59.999989,75.93,77.33,75.91,77.33,79680285.0,0.0,77.32505,SmaCross,85,735358.9999999999,Broker,85,9921.78,9999.11,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,AAPL,86,2014-05-06 23:59:59.999989,77.43,77.77,76.48,76.48,103966575.0,0.0,76.482285,SmaCross,86,735359.9999999999,Broker,86,9921.78,9998.26,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,AAPL,87,2014-05-07 23:59:59.999989,76.59,76.85,75.62,76.21,78513725.0,0.0,76.214638,SmaCross,87,735360.9999999999,Broker,87,9921.78,9997.99,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,AAPL,88,2014-05-08 23:59:59.999989,76.11,76.91,75.87,76.08,63567771.0,0.0,76.078789,SmaCross,88,735361.9999999999,Broker,88,9921.78,9997.86,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,AAPL,89,2014-05-09 23:59:59.999989,75.63,75.85,75.09,75.76,80488214.0,0.0,75.761787,SmaCross,89,735362.9999999999,Broker,89,9921.78,9997.54,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,AAPL,90,2014-05-12 23:59:59.999989,76.01,76.81,76.0,76.71,58850936.0,0.0,76.70504,SmaCross,90,735365.9999999999,Broker,90,9921.78,9998.49,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,AAPL,91,2014-05-13 23:59:59.999989,76.6,76.93,76.43,76.83,44091449.0,0.0,76.825363,SmaCross,91,735366.9999999999,Broker,91,9921.78,9998.61,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,AAPL,92,2014-05-14 23:59:59.999989,76.65,77.3,76.56,76.84,45931656.0,0.0,76.839584,SmaCross,92,735367.9999999999,Broker,92,9921.78,9998.62,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,AAPL,93,2014-05-15 23:59:59.999989,76.95,77.19,76.09,76.19,63719272.0,0.0,76.186157,SmaCross,93,735368.9999999999,Broker,93,9921.78,9997.970000000001,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,AAPL,94,2014-05-16 23:59:59.999989,76.16,77.31,75.74,77.31,76253642.0,0.0,77.310577,SmaCross,94,735369.9999999999,Broker,94,9921.78,9999.09,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,AAPL,95,2014-05-19 23:59:59.999989,77.35,78.58,77.29,78.23,87708342.0,0.0,78.226646,SmaCross,95,735372.9999999999,Broker,95,9921.78,10000.01,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,AAPL,96,2014-05-20 23:59:59.999989,78.22,78.46,77.73,78.24,64820605.0,0.0,78.242142,SmaCross,96,735373.9999999999,Broker,96,9921.78,10000.02,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,AAPL,97,2014-05-21 23:59:59.999989,78.13,78.5,77.9,78.45,54338155.0,0.0,78.449181,SmaCross,97,735374.9999999999,Broker,97,9921.78,10000.230000000001,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,AAPL,98,2014-05-22 23:59:59.999989,78.49,78.91,78.16,78.57,55414764.0,0.0,78.573387,SmaCross,98,735375.9999999999,Broker,98,9921.78,10000.35,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,AAPL,99,2014-05-23 23:59:59.999989,78.57,79.54,78.47,79.46,64095644.0,0.0,79.460983,SmaCross,99,735376.9999999999,Broker,99,9921.78,10001.24,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,AAPL,100,2014-05-27 23:59:59.999989,79.69,80.98,79.66,80.95,96295715.0,0.0,80.948952,SmaCross,100,735380.9999999999,Broker,100,9921.78,10002.730000000001,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,AAPL,101,2014-05-28 23:59:59.999989,81.0,81.49,80.71,80.74,87080797.0,0.0,80.739334,SmaCross,101,735381.9999999999,Broker,101,9921.78,10002.52,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,AAPL,102,2014-05-29 23:59:59.999989,81.24,82.4,81.23,82.21,103916212.0,0.0,82.21048,SmaCross,102,735382.9999999999,Broker,102,9921.78,10003.99,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,AAPL,103,2014-05-30 23:59:59.999989,82.55,83.35,81.37,81.9,155683774.0,0.0,81.902557,SmaCross,103,735383.9999999999,Broker,103,9921.78,10003.68,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,AAPL,104,2014-06-02 23:59:59.999989,82.03,82.14,80.54,81.34,101950035.0,0.0,81.339699,SmaCross,104,735386.9999999999,Broker,104,9921.78,10003.12,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,AAPL,105,2014-06-03 23:59:59.999989,81.32,82.65,81.29,82.49,80795044.0,0.0,82.489952,SmaCross,105,735387.9999999999,Broker,105,9921.78,10004.27,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,AAPL,106,2014-06-04 23:59:59.999989,82.48,83.83,82.3,83.43,92601384.0,0.0,83.431915,SmaCross,106,735388.9999999999,Broker,106,9921.78,10005.210000000001,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,AAPL,107,2014-06-05 23:59:59.999989,83.61,84.02,83.15,83.76,83857904.0,0.0,83.75927,SmaCross,107,735389.9999999999,Broker,107,9921.78,10005.54,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,AAPL,108,2014-06-06 23:59:59.999989,84.09,84.27,83.39,83.53,96591735.0,0.0,83.528938,SmaCross,108,735390.9999999999,Broker,108,9921.78,10005.310000000001,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,AAPL,109,2014-06-09 23:59:59.999989,83.96,85.03,83.1,84.87,83265691.0,0.0,84.865509,SmaCross,109,735393.9999999999,Broker,109,9921.78,10006.650000000001,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,AAPL,110,2014-06-10 23:59:59.999989,85.8,86.09,84.75,85.36,69312077.0,0.0,85.363655,SmaCross,110,735394.9999999999,Broker,110,9921.78,10007.140000000001,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,AAPL,111,2014-06-11 23:59:59.999989,85.25,85.83,84.66,85.01,50436380.0,0.0,85.010437,SmaCross,111,735395.9999999999,Broker,111,9921.78,10006.79,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,AAPL,112,2014-06-12 23:59:59.999989,85.17,85.25,83.24,83.59,60448352.0,0.0,83.58847,SmaCross,112,735396.9999999999,Broker,112,9921.78,10005.37,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,AAPL,113,2014-06-13 23:59:59.999989,83.51,83.72,82.31,82.67,60201037.0,0.0,82.673691,SmaCross,113,735397.9999999999,Broker,113,9921.78,10004.45,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,AAPL,114,2014-06-16 23:59:59.999989,82.88,84.01,82.83,83.51,39262896.0,0.0,83.506935,SmaCross,114,735400.9999999999,Broker,114,9921.78,10005.29,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,AAPL,115,2014-06-17 23:59:59.999989,83.61,83.96,83.14,83.4,32820467.0,0.0,83.39827,SmaCross,115,735401.9999999999,Broker,115,9921.78,10005.18,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,AAPL,116,2014-06-18 23:59:59.999989,83.57,83.59,82.74,83.49,37002790.0,0.0,83.488853,SmaCross,116,735402.9999999999,Broker,116,9921.78,10005.27,BuySell,116,,,Trades - Net Profit/Loss,116,,
