===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
104,AMZN,104,2014-06-02 23:59:59.999989,312.59,312.6,307.0,308.84,2203400.0,0.0,308.839996,SmaCross,104,735386.9999999999,Broker,104,9969.71,9969.71,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,AMZN,105,2014-06-03 23:59:59.999989,305.75,307.92,305.07,307.19,2379200.0,0.0,307.190002,SmaCross,105,735387.9999999999,Broker,105,9663.96,9971.15,BuySell,105,300.49395,,Trades - Net Profit/Loss,105,,
106,AMZN,106,2014-06-04 23:59:59.999989,306.85,309.5,303.84,306.78,2107100.0,0.0,306.779999,SmaCross,106,735388.9999999999,Broker,106,9663.96,9970.74,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,AMZN,107,2014-06-05 23:59:59.999989,308.1,327.94,306.9,323.57,7796700.0,0.0,323.570007,SmaCross,107,735389.9999999999,Broker,107,9663.96,9987.529999999999,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,AMZN,108,2014-06-06 23:59:59.999989,325.0,330.88,324.93,329.67,5244000.0,0.0,329.670013,SmaCross,108,735390.9999999999,Broker,108,9663.96,9993.63,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,AMZN,109,2014-06-09 23:59:59.999989,331.57,333.0,325.65,327.5,3212200.0,0.0,327.5,SmaCross,109,735393.9999999999,Broker,109,9663.96,9991.46,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,AMZN,110,2014-06-10 23:59:59.999989,327.65,335.5,327.5,332.41,3663400.0,0.0,332.410004,SmaCross,110,735394.9999999999,Broker,110,9663.96,9996.369999999999,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,AMZN,111,2014-06-11 23:59:59.999989,336.0,340.72,333.88,335.2,4436800.0,0.0,335.200012,SmaCross,111,735395.9999999999,Broker,111,9663.96,9999.16,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,AMZN,112,2014-06-12 23:59:59.999989,335.55,335.55,324.66,325.91,4276300.0,0.0,325.910004,SmaCross,112,735396.9999999999,Broker,112,9663.96,9989.869999999999,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,AMZN,113,2014-06-13 23:59:59.999989,327.05,329.3,323.53,326.27,2764800.0,0.0,326.269989,SmaCross,113,735397.9999999999,Broker,113,9663.96,9990.23,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,AMZN,114,2014-06-16 23:59:59.999989,324.86,328.69,323.52,327.62,2449800.0,0.0,327.619995,SmaCross,114,735400.9999999999,Broker,114,9663.96,9991.58,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,AMZN,115,2014-06-17 23:59:59.999989,327.54,331.34,325.23,325.62,2924100.0,0.0,325.619995,SmaCross,115,735401.9999999999,Broker,115,9663.96,9989.58,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,AMZN,116,2014-06-18 23:59:59.999989,328.0,335.75,325.0,334.38,6401500.0,0.0,334.380005,SmaCross,116,735402.9999999999,Broker,116,9663.96,9998.339999999998,BuySell,116,,,Trades - Net Profit/Loss,116,,
